#
#
# Table of the atomic volume per atom of Tantalum
# through a range of temperatures and pressures
#
# Temperature  Pressure      Volume
# (degree K)    (MBar)    (cubic Bohrs)
#
 2400.000000000    9.59184    53.2497 
 2400.000000000    9.79592    52.252 
 2400.000000000    10    50.7221 
  
 2700.000000000    0    128.62 
 2700.000000000    0.204082    118.405 
 2700.000000000    0.408163    109.779 
 2700.000000000    0.612245    102.543 
 2700.000000000    0.816327    96.5102 
 2700.000000000    1.02041    91.5128 
 2700.000000000    1.22449    87.3969 
 2700.000000000    1.42857    84.0234 
 2700.000000000    1.63265    81.2669 
 2700.000000000    1.83673    79.0155 
 2700.000000000    2.04082    77.1696 
 2700.000000000    2.2449    75.6418 
 2700.000000000    2.44898    74.3559 
 2700.000000000    2.65306    73.2464 
 2700.000000000    2.85714    72.2577 
 2700.000000000    3.06122    71.3437 
 2700.000000000    3.26531    70.467 
 2700.000000000    3.46939    69.5983 
 2700.000000000    3.67347    68.7158 
 2700.000000000    3.87755    67.8042 
 2700.000000000    4.08163    66.8547 
 2700.000000000    4.28571    65.8639 
 2700.000000000    4.4898    64.8332 
 2700.000000000    4.69388    63.7683 
 2700.000000000    4.89796    62.6783 
 2700.000000000    5.10204    61.5755 
 2700.000000000    5.30612    60.4742 
 2700.000000000    5.5102    59.3907 
 2700.000000000    5.71429    58.342 
 2700.000000000    5.91837    57.3454 
 2700.000000000    6.12245    56.4182 
 2700.000000000    6.32653    55.5767 
 2700.000000000    6.53061    54.8353 
 2700.000000000    6.73469    54.2066 
 2700.000000000    6.93878    53.7 
 2700.000000000    7.14286    53.3217 
 2700.000000000    7.34694    53.0735 
 2700.000000000    7.55102    52.9524 
 2700.000000000    7.7551    52.9501 
 2700.000000000    7.95918    53.0522 
 2700.000000000    8.16327    53.2374 
 2700.000000000    8.36735    53.4772 
 2700.000000000    8.57143    53.7349 
 2700.000000000    8.77551    53.9654 
 2700.000000000    8.97959    54.114 
 2700.000000000    9.18367    54.1162 
 2700.000000000    9.38776    53.897 
 2700.000000000    9.59184    53.3698 
 2700.000000000    9.79592    52.4366 
 2700.000000000    10    50.9864 
  
 3000.000000000    0    129.411 
 3000.000000000    0.204082    119.08 
 3000.000000000    0.408163    110.352 
